seed,policy,tau_c,tau_r,C_h,automation_rate,exposure_rate,leakage_rate,system_f1,system_precision,system_recall,sens_precision,sens_recall,sens_f1,nsens_precision,nsens_recall,nsens_f1,expected_cost,human_cost,error_cost,leak_cost,n_deferred,n_total
42,privacy_triggered,0.85,0.5,2.0,0.07,0.0,0.0,0.988388969521045,0.9912663755458515,0.9855282199710564,1.0,1.0,1.0,0.9838709677419355,0.973404255319149,0.9786096256684492,2.06,1.86,0.2,0.0,93,100
42,privacy_triggered,0.85,0.5,5.0,0.07,0.0,0.0,0.988388969521045,0.9912663755458515,0.9855282199710564,1.0,1.0,1.0,0.9838709677419355,0.973404255319149,0.9786096256684492,4.85,4.65,0.2,0.0,93,100
42,privacy_triggered,0.85,0.5,10.0,0.07,0.0,0.0,0.988388969521045,0.9912663755458515,0.9855282199710564,1.0,1.0,1.0,0.9838709677419355,0.973404255319149,0.9786096256684492,9.5,9.3,0.2,0.0,93,100
42,privacy_triggered,0.85,0.5,20.0,0.07,0.0,0.0,0.988388969521045,0.9912663755458515,0.9855282199710564,1.0,1.0,1.0,0.9838709677419355,0.973404255319149,0.9786096256684492,18.8,18.6,0.2,0.0,93,100
42,privacy_triggered,0.85,0.5,40.0,0.07,0.0,0.0,0.988388969521045,0.9912663755458515,0.9855282199710564,1.0,1.0,1.0,0.9838709677419355,0.973404255319149,0.9786096256684492,37.4,37.2,0.2,0.0,93,100
42,privacy_triggered,0.85,0.6,2.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,2.3237840712070463,1.56,0.24,0.5237840712070465,78,100
42,privacy_triggered,0.85,0.6,5.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,4.663784071207046,3.9,0.24,0.5237840712070465,78,100
42,privacy_triggered,0.85,0.6,10.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,8.563784071207046,7.8,0.24,0.5237840712070465,78,100
42,privacy_triggered,0.85,0.6,20.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,16.363784071207046,15.6,0.24,0.5237840712070465,78,100
42,privacy_triggered,0.85,0.6,40.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,31.963784071207048,31.2,0.24,0.5237840712070465,78,100
42,privacy_triggered,0.9,0.2,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,100,100
42,privacy_triggered,0.9,0.2,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,100,100
42,privacy_triggered,0.9,0.2,10.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,100,100
42,privacy_triggered,0.9,0.2,20.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,0.0,0.0,100,100
42,privacy_triggered,0.9,0.2,40.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,40.0,0.0,0.0,100,100
42,privacy_triggered,0.9,0.3,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,100,100
